timestamp_ms,ear,pitch,yaw,roll,label
1776974040713,0.37719,-14.59230,-26.55976,-16.68438,Distracted
1776974043507,0.15646,22.03510,-30.76976,24.86206,Distracted
1776974043631,0.18809,15.69386,-20.66672,23.97424,Distracted
1776974043738,0.18335,15.65391,-18.78395,22.90520,Distracted
1776974043847,0.19315,12.03025,-12.00796,14.24897,Distracted
1776974043957,0.26996,10.24526,-7.83309,15.36279,Distracted
1776974044066,0.26513,14.13699,-7.31352,17.22314,Distracted
1776974044174,0.21124,12.86446,-12.30936,17.78986,Distracted
1776974044285,0.22153,14.00967,-11.23212,15.55001,Distracted
1776974044411,0.26503,5.95286,-13.59059,13.63494,Distracted
1776974044536,0.22340,7.05779,-14.17193,13.98511,Distracted
1776974044646,0.27201,12.55954,-13.25151,12.90916,Distracted
1776974044755,0.29695,-0.00006,-11.18252,10.32983,Distracted
1776974044863,0.26096,0.82267,-11.77584,10.17577,Distracted
1776974044973,0.27703,-5.20381,-13.98626,7.11180,Distracted
1776974045084,0.25512,-2.95330,-8.94868,5.94805,Distracted
1776974045191,0.24939,3.91808,-6.80423,5.28591,Distracted
1776974045302,0.28869,-0.57113,-6.69164,5.49570,Distracted
1776974045440,0.22568,-6.58808,-5.63891,3.75015,Distracted
1776974045567,0.27605,-0.86662,-5.39216,4.95001,Distracted
1776974045675,0.15844,11.24936,-5.09528,7.26169,Distracted
1776974045785,0.30431,0.20412,-8.10668,8.78949,Distracted
1776974045922,0.28814,-8.81212,-9.79139,6.79387,Distracted
1776974046048,0.31102,-2.84114,-4.41673,5.43500,Distracted
1776974046173,0.11461,7.99872,-3.74153,5.14510,Distracted
1776974046298,0.14402,-10.74834,-5.06571,6.83958,Distracted
1776974046426,0.12644,-5.14706,-17.17108,9.16160,Distracted
1776974046563,0.20086,-0.66676,-26.06273,10.90526,Distracted
1776974046724,0.23502,-19.00606,-32.59329,1.42699,Distracted
1776974046883,0.24631,-22.71636,-36.47276,3.51112,Distracted
1776974047019,0.39412,9.67856,-49.37457,24.38082,Distracted
